"SR.
 NO.",PRODUCT,COMPOSITION,PACKING,MRP,G.S.T,"NET 
 RATE"
34,NEBILEX-2.5,NEBIVOLOL 2.5 MG,4*5*10 Blister,1700,12%,250
35,NEBILEX-5,NEBIVOLOL 5 MG,4*5*10 Blister,4500,12%,360
36,NEXCLOR-12.5,CHLORTHALIDONE 12.5 MG,10*10 Alu Alu,650,12%,82
37,NEXCLOR-6.25,CHLORTHALIDONE 6.25 MG,10*10 Alu Alu,520,12%,72
38,NEXMIDE PLUS,TORSEMIDE 10 MG + SPIRONOLACTONE 50 MG,10*10 Alu Alu,2900,12%,215
39,NEXMIDE-10,TORSEMIDE 10 MG,10*10 Alu Alu,750,12%,70
40,NEXMIDE-20,TORSEMIDE 20 MG,10*10 Alu Alu,1400,12%,90
41,NEXMIDE-5,TORSEMIDE 5 MG,10*10 Alu Alu,450,12%,53
42,NEXODIL-10,NICORANDIL 10 MG,1*20 BOTTLE,320,12%,40
43,NEXODIL-5,NICORANDIL 5 MG,1*20 BOTTLE,215,12%,32
44,NEXTOR ASP 10/75,ATORVASTATIN 10 MG +ASPRIN 75 MG,10*15 strip,735,12%,188
45,NEXTOR C-75,ATORVASTATIN 10 MG + CLOPIDOGREL 75 MG,10*10 strip,"1150.00//
 1400.00",12%,180
46,NEXTOR GOLD-10,"ATORVASTATIN 10 MG + CLOPIDOGREL 75 MG +
 ASPRIN 75 MG",10*15 strip,1825,12%,280
47,NEXTOR GOLD-20,"ATORVASTATIN 20 MG + CLOPIDOGREL 75 MG +
 ASPRIN 75 MG",10*15 strip,1925,12%,310
48,NEXTOR-10,ATORVASTATIN 10 MG,10*10 Alu Alu,616,12%,68
49,NEXTOR-20,ATORVASTATIN 20 MG,10*10 Alu Alu,1200,12%,105
50,NEXTOR-40,ATORVASTATIN 40 MG,10*10 Alu Alu,1499,12%,145
51,NEXTOR-80,ATORVASTATIN 80 MG,10*10 Alu Alu,2800,12%,180
52,NEXZINE-500,RANOLAZINE 500 MG (SR),10*10 Blister,1300,12%,245
53,NIROWIN-2.6,NITROGLYCERINE 2.6 MG,1*30 BOTTLE,"130.00 &
 160.00",12%,28
54,NIROWIN-6.4,NITROGLYCERINE 6.4 MG,1*30 BOTTLE,220,12%,36
55,NORPINE-10,CILNIDIPINE 10 MG,10*10 Alu Alu,850,12%,76
56,NORPINE-20,CILNIDIPINE 20 MG,10*10 Alu Alu,985,12%,82
57,NORPINE-5,CILNIDIPINE-5 MG,10*10 Alu Alu,295,12%,40
58,NORPINE-M,CILNIDIPINE 10 MG + METOPROLOL 50 MG (ER),10*10 Alu Alu,890,12%,148
59,NORPINE-T,CILNIDIPINE 10 MG + TELMISARTAN 40 MG,10*10 Alu Alu,"1100.00 &
 1750.00",12%,125
60,ORITAN-20,OLMESARTAN MEDOXOMIL 20 MG,10*10 Alu Alu,1100,12%,135
61,ORITAN-40,OLMESARTAN MEDOXOMIL 40 MG,10*10 Alu Alu,2000,12%,180
62,ORITAN-A 40/5,OLMESARTAN MEDOXOMIL 40 MG + AMLODIPINE 5 MG,10*10 Alu Alu,2090,12%,220
63,ORITAN-AH 40,"OLMESARTAN MEDOXOMIL 40 MG + AMLODIPINE 5MG
 HYDROCHLOROTHIAZIDE 12.5 MG",10*10 Alu Alu,2250,12%,210
64,ORITAN-CH 40/6.25,"OLMESARTAN MEDOXOMIL 40 MG +
 CHLORTHALIDONE 6.25 MG",10*10 Alu Alu,2299,12%,260
65,ORITAN-H 20,"OLMESARTAN MEDOXOMIL 20 MG + HYDROCHLOROTHIAZIDE
 12.5 MG",10*10 Alu Alu,1300,12%,150
66,ORITAN-H 40,"OLMESARTAN MEDOXOMIL 40 MG +
 HYDROCHLOROTHIAZIDE 12.5 MG",10*10 Alu Alu,2150,12%,205
67,ORITAN-TRIO 40,"OLMESARTAN MEDOXOMIL 40 MG + AMLODIPINE 5 MG
 CHLORTHALIDONE 6.25 MG",10*10 Alu Alu,2390,12%,280
68,ORPRIL H 5/12.5,RAMIPRIL 5 MG + HYDROCHLOROTHIAZIDE 12.5 MG,10*15 Alu Alu,1930,12%,138
69,ORPRIL-2.5,RAMIPRIL 2.5 MG,10*10 Alu Alu,558,12%,75
70,ORPRIL-5,RAMIPRIL 5 MG,10*10 Alu Alu,879.2,12%,92
71,PRASUNEX-10,PRASUGREL 10 MG,10*10 Alu Alu,2500,12%,310
72,PRONOL -10,PROPRANOLOL 10 MG,4*5*10 Blister,260,12%,65
73,PRONOL -40,PROPRANOLOL 40 MG (SR),4*5*10 Blister,590,12%,105
74,PRONOL -F 10,PROPRANOLOL 10 MG + FLUNARIZINE 10 MG (SR),4*5*10 Blister,2050,12%,250
75,RIVAX 10,RIVAROXABAN 10 MG,10*10 Alu Alu,1020,12%,190
76,ROSUNEX ASP 10/75,ROSUVASTATIN 10 MG + ASPIRIN 75 MG (CAPS),10*15 STRIP,1275,12%,240
77,ROSUNEX ASP 20/150,ROSUVASTATIN 20 MG + ASPIRIN 150 MG (CAPS),10*15 STRIP,1720,12%,340
78,ROSUNEX-10,ROSUVASTATIN 10 MG,10*10 Alu Alu,1290,12%,105
79,ROSUNEX-20,ROSUVASTATIN 20 MG,10*10 Alu Alu,1990,12%,155
80,ROSUNEX-5,ROSUVASTATIN 5 MG,10*10 Alu Alu,395,12%,70
81,ROSUNEX-F,ROSUVASTATIN 10 MG + FENOFIBRATE 160 MG,10*10 Alu Alu,1750,12%,188
82,"ROSUNEX-GOLD 10
 (Caps)","ROSUVASTATIN 10 MG + CLOPIDOGREL 75 MG +
 ASPIRIN 75 MG (Caps)",10*10 STRIP,1800,12%,295
83,"ROSUNEX-GOLD 20
 (Caps)","ROSUVASTATIN 20 MG + CLOPIDOGREL 75 MG +
 ASPIRIN 75 MG (Caps)",10*10 STRIP,2040,12%,330
84,TELPIN-20,TELMISARTAN 20 MG,10*10 Alu Alu,549,12%,72
85,TELPIN-40,TELMISARTAN 40 MG,10*10 Alu Alu,700,12%,102
86,TELPIN-80,TELMISARTAN 80 MG,10*10 Alu Alu,1050,12%,140
87,TELPIN-80 A,TELMISARTAN 80 MG + AMLODIPINE 5 MG,10*10 Alu Alu,1119,12%,148
88,TELPIN-A,TELMISARTAN 40 MG + AMLODIPINE 5 MG,10*10 Alu Alu,720,12%,108
89,TELPIN-A CH 40/12.5,"TELMISARTAN 40 MG + CHLORTHALIDONE 12.5 MG +
 AMLODIPINE 5 MG",10*10 Alu Alu,960,12%,132
90,TELPIN-A CH 40/6.25,"TELMISARTAN 40 MG + CHLORTHALIDONE 6.25 MG +
 AMLODIPINE 5 MG",10*10 Alu Alu,810,12%,120
91,TELPIN-A CH 80/12.5,"TELMISARTAN 80 MG + CHLORTHALIDONE 12.5 MG +
 AMLODIPINE 5 MG",10*10 Alu Alu,1190,12%,175
92,TELPIN-A CH 80/6.25,"TELMISARTAN 80 MG + CHLORTHALIDONE 6.25 MG +
 AMLODIPINE 5 MG",10*10 Alu Alu,1110,12%,163
93,TELPIN-AH,"TELMISARTAN 40 MG + AMLODIPINE 5 MG +
 HYDROCHLOROTHIAZIDE 12.5 MG",10*10 Alu Alu,900,12%,123
94,TELPIN-CH 40/12.5,TELMISARTAN 40MG + CHLORTHALIDONE 12.5 MG,10*10 Alu Alu,925,12%,128
95,TELPIN-CH 40/6.25,TELMISARTAN 40MG + CHLORTHALIDONE 6.25 MG,10*10 Alu Alu,780,12%,114
96,TELPIN-CH 80/12.5,TELMISARTAN 80MG + CHLORTHALIDONE 12.5 MG,10*10 Alu Alu,1160,12%,172
97,TELPIN-CH 80/6.25,TELMISARTAN 80MG + CHLORTHALIDONE 6.25 MG,10*10 Alu Alu,1080,12%,160
98,TELPIN-H 40,"TELMISARTAN 40 MG +
 HYDROCHLOROTHIAZIDE 12.5 MG",10*10 Alu Alu,"850.00 &
 1400.00",12%,108
99,TELPIN-H 80,"TELMISARTAN 80 MG +
 HYDROCHLOROTHIAZIDE 12.5 MG",10*10 Alu Alu,1180,12%,148
100,TELPIN-TRIO,"TELMISARTAN 40MG + CILNIDIPINE 10 MG +
 CHLORTHALIDONE 6.25 MG",10*10 Alu Alu,1570,12%,215
101,TICALON 90,TICAGRELOR 90 MG,10*14 Blister,4990,12%,1500
102,TRIMEX-35,"TRIMETAZIDINE DI HCL 35 MG
 (CONTROLLED RELEASE)",10*10 Blister,750,12%,125
1,DAPANEX-10,DAPAGLIFLOZIN 10 MG,10*14 Alu Alu,2990,12%,335
2,DAPANEX-M 10,DAPAGLIFLOZIN 10 MG +METFORMIN 500 MG (ER),3*10 Alu Alu,690,12%,81
3,GLICNEX-80,GLICLAZIDE 80 MG,10*10 Blister,396,12%,125
4,GLICNEX-M,GLICLAZIDE 80 MG + METFORMIN 500 MG,10*10 Blister,1090,12%,220
5,GLICNEX-MV 0.3,"GLICLAZIDE 80 MG + METFORMIN 500 MG +
 VOGLIBOSE 0.3",10*15 Blister,2775,12%,450
6,JANUSIT-100,SETAGLIPTIN 100 MG,1*7 Blister,,,NA
7,JANUSIT-50,SETAGLIPTIN 50 MG,1*7 Blister,,,NA
8,JANUSIT-M,SETAGLIPTIN 50 MG + METFORMIN 500 MG,2*15 Blister,,,NA
9,JANUSIT-M FORTE,SETAGLIPTIN 50 MG + METFORMIN 1000 MG,2*15 Blister,,,NA
10,METRIN-1000,METFORMIN 1000 MG (sr),10*15 Blister,610,12%,180
11,METRIN-500,METFORIMIN 500 (SR),10*15 Blister,320,12%,107
12,OGLIM G-0.5,"GLIMIPRIDE 0.5 MG + METFORIMIN 500 MG (SR)
 (BILAYERED)",10*15 Blister,750,12%,150
13,OGLIM-1,GLIMIRPIDE 1 MG,5*4*10 Blister,550,12%,73
14,OGLIM-2,GLIMIRPIDE 2 MG,5*4*10 Blister,785,12%,80
15,OGLIM-3,GLIMIRPIDE 3 MG,5*4*10 Blister,1070,12%,96
16,OGLIM-4,GLIMIPRIDE 4 MG,5*4*10 Blister,1500,12%,100
17,OGLIM- G 1,"GLIMEPIRIDE 1 MG + METFORMIN(SR) 500 MG
 (Bilayered)",10*10 Blister,600,12%,100
18,OGLIM- G 2,"GLIMEPIRIDE 2 MG + METFORMIN(SR) 500 MG
 (Bilayered)",10*10 Blister,700,12%,105
19,OGLIM-G 1 FORTE,"GLIMEPIRIDE 1 MG + METFORMIN(SR) 1000 MG
 (Bilayered)",10*10 Blister,700,12%,140
20,OGLIM-G 2 FORTE,GLIMEPIRIDE 2 MG + METFORMIN(SR) 1000 MG (Bilayered),10*10 Blister,800,12%,150
21,OGLIM-G 3 FORTE,"GLIMIRPIDE 3 MG + METFORMIN 1000 MG (SR)
 (BILAYERED)",10*15 Blister,1395,12%,203
22,OGLIM-G 4 FORTE,"GLIMIPRIDE 4 MG + METFORMIN 1000 MG (SR)
 (BILAYERED)",10*15 Blister,1720,12%,215
23,OGLIM-GP 1,"GLIMEPIRIDE 1 MG + METFORMIN(ER) 500 MG +
 PIOGLITAZONE 15 MG (Bilayered)",10*10 Blister,800,12%,118
24,OGLIM-GP 2,"GLIMEPIRIDE 2 MG + METFORMIN(ER) 500 MG +
 PIOGLITAZONE 15 MG  (Bilayered)",10*10 Blister,950,12%,130
25,ORIVOG- MV1,"GLIMEPIRIDE 1 MG + METFORMIN (SR) 500 MG +
 VOGLIBOSE 0.2 MG  (Bilayered)",10*10 Blister,1070,12%,135
26,ORIVOG- MV2,"GLIMEPIRIDE 2 MG + METFORMIN (SR) 500 MG +
 VOGLIBOSE 0.2 MG  (Bilayered)",10*10 Blister,1170,12%,145
27,ORIVOG-0.2,VOGLIBOSE 0.2 MG,10*10 Alu Alu,760,12%,71
28,ORIVOG-0.3,VOGLIBOSE 0.3 MG,10*10 Alu Alu,950,12%,91
29,ORIVOG-GM 1,"GLIMEPIRIDE 1 MG + METFORMIN (SR) 500 MG +
 VOGLIBOSE 0.3 MG  (Bilayered)",10*10 Blister,1200,12%,150
30,ORIVOG-GM 2,"GLIMEPIRIDE 2 MG + METFORMIN (SR) 500 MG +
 VOGLIBOSE 0.3 MG  (Bilayered)",10*10 Blister,"1350.00 &
 1550.00",12%,160
31,PIOTAZ-15,PIOGLITAZONE 15 MG,5*4*10,440,12%,90
32,PIOTAZ-30,PIOGLITAZONE 30 MG,5*4*10,945,12%,125
33,PIOTAZ-M 15,PIOGLITAZONE 15 MG + METFORMIN 500 (SR) (BILAYERED),3*10 blitser,171,12%,125
34,TINANEX 20,TENELIGLIPTIN 20 MG,10*10 Alu Alu,"1050.00 &
 1600.00",12%,140
35,TINANEX M,TENELIGLIPTIN 20 MG + METFORMIN (SR) 500 MG (Bilayered),10*10 Alu Alu,1390,12%,195
36,TINANEX M FORTE,"TENELIGLIPTIN 20 MG + METFORMIN (SR) 1000 MG
 (Bilayered)",10*10 Alu Alu,1699,12%,235
37,VIDANEX 50,VILDAGLIPTIN 50 MG,10*10 Alu Alu,1190,12%,140
38,VIDANEX-M,VILDAGLIPTIN 50 MG +METFORMIN 500 MG,10*10 Alu Alu,1490,12%,190
39,VIDANEX-M FORTE,VIDAGLIPTIN 50 MG + METFORMIN 1000 MG,10*15 Alu Alu,1959,12%,370
40,VOGLIX-M 0.2,VOGLIBOSE 0.2 MG + METFORMIN(SR) 500 MG (Bilayered),10*10 Blister,900,12%,115
41,VOGLIX-M 0.3,VOGLIBOSE 0.3 MG + METFORMIN(SR) 500 MG (Bilayered),10*10 Blister,1150,12%,150
